season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
5,9,The One with Ross's Sandwich,10 Dec. 1998,9.1,5103,Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.
5,10,The One with the Inappropriate Sister,17 Dec. 1998,8.1,3931,A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.
5,11,The One with All the Resolutions,7 Jan. 1999,9.1,4962,The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Rachel uncovers a secret. Ross runs into trouble when he wears leather pants on a date.
5,12,The One with Chandler's Work Laugh,21 Jan. 1999,8.2,3922,Monica becomes annoyed at how Chandler sucks up to his boss by mimicking his boss's laugh and laughing at his tasteless jokes. Ross hooks up with Janice when he finds out Emily is getting married.
5,13,The One with Joey's Bag,4 Feb. 1999,8.1,3923,"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages."
5,14,The One Where Everybody Finds Out,11 Feb. 1999,9.7,10596,"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship."
5,15,The One with the Girl Who Hits Joey,18 Feb. 1999,8.5,4136,Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.
5,16,The One with the Cop,25 Feb. 1999,8.6,4251,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment."
5,17,The One with Rachel's Inadvertent Kiss,18 Mar. 1999,8.5,3948,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.
5,18,The One Where Rachel Smokes,8 Apr. 1999,7.9,3833,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance."
5,19,The One Where Ross Can't Flirt,22 Apr. 1999,8.7,4261,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced."
5,20,The One with the Ride Along,29 Apr. 1999,8.2,3832,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.
5,21,The One with the Ball,6 May 1999,8.4,3978,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would."
5,22,The One with Joey's Big Break,11 May 1999,8.2,3795,"Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why."
5,23,The One in Vegas: Part 1,20 May 1999,8.8,4322,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.
5,24,The One in Vegas: Part 2,20 May 1999,9.1,4897,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.
6,1,The One After Vegas,23 Sep. 1999,8.7,4221,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.
6,2,The One Where Ross Hugs Rachel,30 Sep. 1999,8.2,3831,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.
6,3,The One with Ross's Denial,7 Oct. 1999,8.1,3778,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.
6,4,The One Where Joey Loses His Insurance,14 Oct. 1999,8.5,3949,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent."
6,5,The One with Joey's Porsche,21 Oct. 1999,8.1,3854,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets."
6,6,The One on the Last Night,4 Nov. 1999,8.5,3901,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills."
