,season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers,imdb_rating,total_votes,desc,rachel,monica,phoebe,joey,chandler,ross,rachel_words,monica_words,phoebe_words,joey_words,chandler_words,ross_words
112,5,16,113,The One with the Cop,Andrew Tsao,Story by: Alicia Sky VarinaitisTeleplay by: Gigi McCreery & Perry Rein,1999-02-25,467666,26020000.0,8.6,4251.0,"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.",41.0,23.0,38.0,44.0,29.0,41.0,386.0,184.0,583.0,529.0,362.0,471.0
113,5,17,114,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,1999-03-18,467667,24480000.0,8.5,3948.0,Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,37.0,52.0,24.0,28.0,30.0,17.0,756.0,600.0,283.0,605.0,393.0,173.0
114,5,18,115,The One Where Rachel Smokes,Todd Holland,Michael Curtis,1999-04-08,467668,21880000.0,7.9,3833.0,"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.",40.0,26.0,25.0,60.0,28.0,43.0,608.0,276.0,306.0,766.0,232.0,370.0
115,5,19,116,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,1999-04-22,467669,20850000.0,8.7,4261.0,"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.",48.0,39.0,45.0,28.0,56.0,52.0,606.0,371.0,380.0,418.0,595.0,560.0
116,5,20,117,The One with the Ride Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,1999-04-29,467670,19630000.0,8.2,3832.0,The guys go on a ride-along with Gary. Rachel accidentally deletes a message from Emily on Ross's answering machine.,50.0,25.0,11.0,43.0,43.0,51.0,557.0,498.0,125.0,409.0,361.0,607.0
117,5,21,118,The One with the Ball,Gary Halvorson,Story by: Scott SilveriTeleplay by: Gregory S. Malins,1999-05-06,467671,20920000.0,8.4,3978.0,"Gary asks Phoebe to move in with him but she's reluctant to and to overcome boredom, Ross and Joey start throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.",41.0,40.0,56.0,30.0,39.0,34.0,640.0,574.0,606.0,253.0,485.0,336.0
118,5,22,119,The One with Joey's Big Break,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Wil Calhoun,1999-05-11,467672,21280000.0,8.2,3795.0,"Joey drives to Las Vegas to shoot to shoot a new movie where he is in the lead role. Rachel gets an eye infection but is reluctant to seek treatment because of her eye phobia. Phoebe is mad at Ross, but doesn't know why.",54.0,47.0,50.0,72.0,49.0,37.0,510.0,552.0,548.0,827.0,524.0,372.0
119,5,23,120,The One in Vegas: Part 1,Kevin S. Bright,Ted Cohen & Andrew Reich,1999-05-20,467673,25900000.0,8.8,4322.0,The gang go to Las Vegas to visit Joey. Chandler is angry when he finds out Monica had lunch with Richard. Ross and Rachel try to embarrass each other after an awkward encounter.,67.0,82.0,87.0,69.0,100.0,68.0,908.0,796.0,1023.0,1073.0,911.0,1044.0
120,5,24,121,The One in Vegas: Part 2,Kevin S. Bright,Gregory S. Malins & Scott Silveri,1999-05-20,467674,25900000.0,9.1,4897.0,Chandler and Monica reconcile and hastily decide to get married. Ross and Rachel get drunk and roam the casino. Phoebe deals with a 'lurker' on the slot machines.,,,,,,,,,,,,
121,6,1,122,The One After Vegas,Kevin S. Bright,Adam Chase,1999-09-23,225551,27740000.0,8.7,4221.0,Ross and Rachel deal with the aftermath of their drunken escapade. Phoebe and Joey take a road trip back to New York in Phoebe's grandmother's cab. Monica and Chandler ponder the idea of marriage.,32.0,46.0,40.0,34.0,54.0,35.0,346.0,425.0,481.0,481.0,474.0,371.0
122,6,2,123,The One Where Ross Hugs Rachel,Gail Mancuso,Shana Goldberg-Meehan,1999-09-30,225552,22950000.0,8.2,3831.0,Monica and Chandler try to tell Rachel and Joey that they're moving in together. Phoebe thinks that Ross didn't get the annulment because he still loves Rachel.,44.0,55.0,40.0,15.0,29.0,44.0,460.0,685.0,563.0,261.0,307.0,576.0
123,6,3,124,The One with Ross's Denial,Gary Halvorson,Seth Kurland,1999-10-07,225553,21600000.0,8.1,3778.0,Ross tries to deny he still has feelings for Rachel. Joey interviews for a new roommate. Monica and Chandler argue over what to do with the spare room when they move in together.,41.0,35.0,31.0,28.0,43.0,58.0,492.0,346.0,417.0,526.0,528.0,817.0
124,6,4,125,The One Where Joey Loses His Insurance,Gary Halvorson,Andrew Reich & Ted Cohen,1999-10-14,225554,21070000.0,8.5,3949.0,"Joey's health benefits lapse just as he develops a hernia. Ross is given a professorship at NYU and eager to impress his students, he puts on a fake English accent.",41.0,26.0,31.0,47.0,31.0,37.0,330.0,192.0,367.0,730.0,266.0,759.0
125,6,5,126,The One with Joey's Porsche,Gary Halvorson,Perry Rein & Gigi McCreery,1999-10-21,225555,22390000.0,8.1,3854.0,"Ross and Rachel try to get an annulment, Joey finds the keys to a porsche in Central Perk, and Phoebe, Monica and Chandler babysit the triplets.",43.0,29.0,32.0,35.0,36.0,37.0,628.0,311.0,657.0,539.0,503.0,441.0
126,6,6,127,The One on the Last Night,David Schwimmer,Scott Silveri,1999-11-04,225556,23590000.0,8.5,3901.0,"On the last night before Chandler and Monica move in together, Monica and Rachel argue, and Chandler tries to give Joey money to help him pay the bills.",41.0,59.0,35.0,42.0,62.0,15.0,440.0,682.0,465.0,576.0,705.0,257.0
127,6,7,128,The One Where Phoebe Runs,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,1999-11-11,225557,22750000.0,8.3,3917.0,Rachel is embarrassed by Phoebe's odd running style. Joey gets a new roommate. Chandler tries to impress Monica by cleaning the apartment but forgets how everything is supposed to look.,39.0,31.0,35.0,34.0,47.0,37.0,369.0,356.0,320.0,507.0,723.0,497.0
128,6,8,129,The One with Ross' Teeth,Gary Halvorson,Story by: Andrew Reich & Ted CohenTeleplay by: Perry Rein & Gigi McCreery,1999-11-18,225558,22140000.0,8.5,4068.0,Ross goes too far while trying to impress a date by over-whitening his teeth. Rachel uses gossip to get her boss to like her after Phoebe supposedly makes out with Ralph Lauren.,41.0,29.0,26.0,34.0,34.0,35.0,599.0,355.0,281.0,531.0,444.0,342.0
129,6,9,130,The One Where Ross Got High,Kevin S. Bright,Gregory S. Malins,1999-11-25,225559,19170000.0,9.2,5506.0,Ross is forced to reveal the reason why Jack and Judy don't like Chandler. Rachel tries to make dessert for the gang. Joey and Ross try to get out of Thanksgiving when they are invited to hang out with Janine and her dancer friends.,39.0,40.0,17.0,36.0,35.0,49.0,537.0,530.0,339.0,419.0,414.0,594.0
130,6,10,131,The One with the Routine,Kevin S. Bright,Brian Boyle,1999-12-16,225561,22430000.0,8.6,4185.0,"On the set of ""Dick Clark's New Year's Rockin' Eve"", Joey tries to kiss Janine at midnight and Monica and Ross resurrect their dance routine from high school. Meanwhile, Rachel, Phoebe and Chandler look for Monica's Christmas presents.",26.0,30.0,25.0,32.0,37.0,31.0,351.0,371.0,203.0,507.0,438.0,314.0
131,6,11,132,The One with the Apothecary Table,Kevin S. Bright,Story by: Zachary RosenblattTeleplay by: Brian Boyle,2000-01-06,225560,22260000.0,8.1,3827.0,"Joey is caught in the middle when Janine tells him she doesn't like Monica and Chandler. Meanwhile, Rachel buys an apothecary table from a store that Phoebe hates.",56.0,43.0,43.0,57.0,34.0,27.0,646.0,385.0,504.0,713.0,323.0,281.0
132,6,12,133,The One with the Joke,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,2000-01-13,225562,22330000.0,8.0,3760.0,"Chandler and Ross argue over a joke. Meanwhile, Joey reluctantly takes a waiter job at Central Perk, and Monica becomes annoyed when Phoebe says she would choose Rachel over her as a girlfriend.",31.0,48.0,24.0,45.0,52.0,33.0,510.0,525.0,212.0,677.0,661.0,351.0
133,6,13,134,The One with Rachel's Sister,Gary Halvorson,Story by: Seth KurlandTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,2000-02-03,225563,24140000.0,8.2,3924.0,"Rachel's younger sister arrives in New York and goes on a date with Ross. Meanwhile, Monica won't admit that she is sick.",63.0,33.0,24.0,22.0,31.0,27.0,824.0,413.0,254.0,235.0,377.0,254.0
134,6,14,135,The One Where Chandler Can't Cry,Kevin S. Bright,Andrew Reich & Ted Cohen,2000-02-10,225564,23820000.0,8.5,3981.0,"Rachel tries to end the spark between Ross and Jill. When Chandler admits that he can't cry, Monica tries to make it happen. The gang discovers that Phoebe's sister, Ursula, is a porn star and is using Phoebe's name.",52.0,33.0,23.0,30.0,33.0,37.0,673.0,379.0,312.0,313.0,321.0,534.0
